match,name,win
2607,ᨏyŕöalFW5,1
2607,Sarek91,0
2653,rrreav,1
2653,pOwNx,0
2658,rrreav,1
2658,pOwNx,0
2663,rrreav,1
2663,pOwNx,0
2664,Astem,1
2664,ᨏyŕöalFW5,0
2668,rrreav,1
2668,pOwNx,0
2670,Astem,1
2670,ᨏyŕöalFW5,0
2674,Astem,1
2674,ᨏyŕöalFW5,0
2724,soapsmellsgood,1
2724,dc!,0
2768,NubikRubik,1
2768,n1cc.ru,0
2771,NubikRubik,1
2771,n1cc.ru,0
2772,s1aY,1
2772,NubikRubik,0
2773,s1aY,1
2773,NubikRubik,0
2775,s1aY,1
2775,NubikRubik,0
2803,aanzu.,1
2803,pOwNx,0
2823,grreso,1
2823,AroVoy,0
2828,grreso,1
2828,AroVoy,0
2830,grreso,1
2830,AroVoy,0
2835,grreso,1
2835,AroVoy,0
2839,grreso,1
2839,AroVoy,0
2844,grreso,1
2844,AroVoy,0
2851,grreso,1
2851,AroVoy,0
2856,grreso,1
2856,AroVoy,0
2867,grreso,1
2867,AroVoy,0
2877,grreso,1
2877,AroVoy,0
2888,grreso,1
2888,AroVoy,0
2889,Caronte.,1
2889,Cube3830,0
2906,rrreav,1
2906,Delirium_,0
2915,rrreav,1
2915,Delirium_,0
2928,Enigmaomega,1
2928,Delirium_,0
2934,rrreav,1
2934,pOwNx,0
2939,rrreav,1
2939,pOwNx,0
2949,rrreav,1
2949,pOwNx,0
2951,ßòóm,1
2951,The_Ficiente,0
2955,rrreav,1
2955,pOwNx,0
2960,rrreav,1
2960,pOwNx,0
2967,rrreav,1
2967,pOwNx,0
2975,rrreav,1
2975,pOwNx,0
2992,rrreav,1
2992,zzzeD,0
2998,vmp1r3.,1
2998,Cube3830,0
2999,rrreav,1
2999,zzzeD,0
3004,ᨏyŕöalFW5,1
3004,Enigmaomega,0
3009,Enigmaomega,1
3009,ᨏyŕöalFW5,0
3012,vmp1r3.,1
3012,Cube3830,0
3015,ᨏyŕöalFW5,1
3015,Enigmaomega,0
3022,ᨏyŕöalFW5,1
3022,Enigmaomega,0
3027,ᨏyŕöalFW5,1
3027,Enigmaomega,0
3054,HYEGUYS,1
3054,rrreav,0
3145,L10Alton,1
3145,Xmid,0
3147,NikaMF,1
3147,Redflash,0
3149,NikaMF,1
3149,Redflash,0
3153,NikaMF,1
3153,Redflash,0
3156,NikaMF,1
3156,Redflash,0
3174,s1aY,1
3174,NubikRubik,0
3177,s1aY,1
3177,NubikRubik,0
3178,s1aY,1
3178,NubikRubik,0
3182,s1aY,1
3182,NubikRubik,0
3183,NikaMF,1
3183,Stán,0
3186,rrreav,1
3186,n1cc.ru,0
3187,Stán,1
3187,NikaMF,0
3276,rrreav,1
3276,Enigmaomega,0
3305,s1aY,1
3305,pOwNx,0
3311,s1aY,1
3311,pOwNx,0
3317,s1aY,1
3317,pOwNx,0
3341,ᨏyŕöalFW5,1
3341,Enigmaomega,0
3403,rÌffågë,1
3403,Paperplate,0
3409,rÌffågë,1
3409,Paperplate,0
3447,EnfeebledMind,1
3447,THE-BL0ODY-NiNE,0
3464,rrreav,1
3464,pizza_microwave,0
3466,rrreav,1
3466,pizza_microwave,0
3469,rrreav,1
3469,pizza_microwave,0
3472,aanzu.,1
3472,pizza_microwave,0
3475,aanzu.,1
3475,pizza_microwave,0
3477,aanzu.,1
3477,pizza_microwave,0
3481,zzzeD,1
3481,617222,0
3483,zzzeD,1
3483,617222,0
3486,zzzeD,1
3486,617222,0
3488,zzzeD,1
3488,617222,0
3492,rrreav,1
3492,zzzeD,0
